date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:43:42	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266d8749d-239b%22	https://ramshan2122.github.io/robots.txt		(from )
21:43:43	13219/13219	---M-Z	200	added ('OK')	text/html	etag:W/%2266dd9789-33a3%22	https://ramshan2122.github.io/Portfolio/	E:/Pro-Community_Web-Development/Portfolio/Portfolio/ramshan2122.github.io/Portfolio/index.html	(from )
21:43:43	83981/83981	---M-Z	200	added ('OK')	text/css	etag:%22619c057b-44be%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	E:/Pro-Community_Web-Development/Portfolio/Portfolio/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	(from https://ramshan2122.github.io/Portfolio/)
21:43:44	8597/8597	---M-Z	200	added ('OK')	text/css	etag:W/%2266dd9789-2195%22	https://ramshan2122.github.io/Portfolio/style.css	E:/Pro-Community_Web-Development/Portfolio/Portfolio/ramshan2122.github.io/Portfolio/style.css	(from https://ramshan2122.github.io/Portfolio/)
21:43:44	103570/103570	---MCZ	200	added ('OK')	text/css	etag:W/%2219492-lr01gMpQnD2DJ4x0Ceuf+uv7CHA%22	https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css	E:/Pro-Community_Web-Development/Portfolio/Portfolio/cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css	(from https://ramshan2122.github.io/Portfolio/)
21:43:45	59963/59963	---M--	200	added ('OK')	image/jpeg	etag:%2266dd9789-ea3b%22	https://ramshan2122.github.io/Portfolio/images/Ramesh-Photo.jpeg	E:/Pro-Community_Web-Development/Portfolio/Portfolio/ramshan2122.github.io/Portfolio/images/Ramesh-Photo.jpg	(from https://ramshan2122.github.io/Portfolio/)
21:43:45	219/219	---M--	200	added ('OK')	application/javascript	etag:%2266dd9789-db%22	https://ramshan2122.github.io/Portfolio/script.js	E:/Pro-Community_Web-Development/Portfolio/Portfolio/ramshan2122.github.io/Portfolio/script.js	(from https://ramshan2122.github.io/Portfolio/)
21:43:46	1146582/1146582	---M--	200	added ('OK')	image/png	etag:%2266dd9789-117ed6%22	https://ramshan2122.github.io/Portfolio/images/back.png	E:/Pro-Community_Web-Development/Portfolio/Portfolio/ramshan2122.github.io/Portfolio/images/back.png	(from https://ramshan2122.github.io/Portfolio/style.css)
21:43:46	1234324/1234324	---MCZ	200	added ('OK')	font/ttf	etag:W/%2212d594-QLLCGd5h5vxXD2lm47ERHhlQ7YE%22	https://cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon.ttf?iehcku	E:/Pro-Community_Web-Development/Portfolio/Portfolio/cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon1885.ttf	(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css)
21:43:47	1234400/1234400	---M--	200	added ('OK')	font/woff	etag:W/%2212d5e0-+k9k5/b7tqusPwZyqOnNnwL+Aqw%22	https://cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon.woff?iehcku	E:/Pro-Community_Web-Development/Portfolio/Portfolio/cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon1885.woff	(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css)
21:43:50	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css)
21:43:50	5498504/5498504	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2253e688-6audWvp5ZxP3TDZ16BRQ2F8JZec%22	https://cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon.svg?iehcku	E:/Pro-Community_Web-Development/Portfolio/Portfolio/cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon1885.svg	(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css)
